filename	count_mme	count_mlle	total
1895-0093	1	0	1
1895-0091	1	0	1
1895-0089	1	0	1
1904-0446	1	0	1
1901-0112	0	1	1
1895-0085	0	1	1
1895-0082	0	1	1
1894-0097	1	0	1
1895-0401	0	1	1
1899-0066	1	0	1
1906-0544	1	0	1
1906-0416	0	1	1
1888-0073	1	0	1
1887-0199	0	1	1
1888-0062	0	1	1
1888-0064	1	0	1
1906-0092	0	1	1
1887-0048	1	0	1
1888-0083	1	0	1
1906-0542	0	1	1
1905-0459	1	0	1
1888-0096	1	0	1
1906-0467	1	0	1
1905-0409	0	1	1
1904-0450	0	1	1
1905-0117	1	0	1
1905-0429	1	0	1
1905-0119	1	0	1
1906-0472	1	0	1
1889-0092	1	0	1
1905-0484	0	1	1
1906-0414	0	1	1
1905-0123	0	1	1
1906-0479	0	1	1
1904-0511	1	0	1
1905-0084	1	0	1
1889-0071	1	0	1
1889-0069	1	0	1
1906-0141	0	1	1
1904-0456	0	1	1
1906-0100	0	1	1
1906-0102	0	1	1
1904-0506	0	1	1
1887-0050	1	0	1
1906-0114	1	0	1
1900-0104	0	1	1
1905-0420	0	1	1
1906-0087	0	1	1
1888-0085	1	0	1
1906-0508	0	1	1
1906-0098	0	1	1
1906-0512	0	1	1
1902-0069	1	0	1
1906-0399	0	1	1
1906-0124	1	0	1
1887-0198	1	0	1
1906-0120	1	0	1
1905-0432	0	1	1
1905-0111	1	0	1
1906-0088	0	1	1
1906-0419	0	1	1
1888-0071	1	0	1
1906-0523	0	1	1
1906-0513	0	1	1
1905-0419	1	0	1
1906-0518	1	0	1
1906-0083	1	0	1
1906-0115	0	1	1
1906-0126	1	0	1
1888-0076	0	1	1
1906-0080	1	0	1
1906-0082	1	0	1
1889-0081	1	0	1
1889-0094	1	0	1
1905-0105	1	0	1
1890-0084	1	0	1
1905-0444	1	0	1
1905-0063	1	0	1
1906-0072	1	0	1
1890-0090	0	1	1
1906-0074	0	1	1
1905-0439	1	0	1
1890-0074	1	0	1
1888-0094	1	0	1
1905-0067	1	0	1
1905-0069	0	1	1
1889-0060	0	1	1
1905-0369	0	1	1
1904-0501	0	1	1
1906-0071	0	1	1
1905-0469	0	1	1
1906-0408	0	1	1
1905-0076	1	0	1
1905-0378	0	1	1
1905-0074	1	0	1
1905-0463	0	1	1
1890-0063	0	1	1
1890-0065	1	0	1
1905-0386	0	1	1
1890-0067	0	1	1
1905-0518	1	0	1
1904-0478	1	0	1
1905-0390	0	1	1
1890-0072	1	0	1
1905-0078	1	0	1
1906-0497	0	1	1
1905-0095	0	1	1
1906-0420	0	1	1
1906-0444	0	1	1
1905-0091	0	1	1
1905-0491	1	0	1
1906-0448	1	0	1
1906-0438	0	1	1
1905-0103	0	1	1
1905-0104	0	1	1
1906-0449	0	1	1
1906-0430	0	1	1
1906-0425	0	1	1
1905-0087	1	0	1
1906-0457	1	0	1
1906-0460	0	1	1
1905-0082	0	1	1
1905-0093	0	1	1
1906-0487	1	0	1
1889-0062	1	0	1
1905-0066	0	1	1
1905-0395	0	1	1
1905-0451	0	1	1
1904-0473	0	1	1
1904-0472	0	1	1
1905-0486	0	1	1
1904-0471	0	1	1
1889-0087	0	1	1
1906-0067	1	0	1
1905-0400	0	1	1
1905-0113	1	0	1
1906-0079	1	0	1
1896-0295	0	1	1
1902-0341	0	1	1
1897-0292	0	1	1
1904-0096	0	1	1
1903-0323	0	1	1
1892-0075	1	0	1
1903-0076	0	1	1
1893-0078	1	0	1
1903-0070	1	0	1
1903-0403	0	1	1
1893-0070	1	0	1
1904-0064	1	0	1
1893-0067	1	0	1
1903-0458	0	1	1
1903-0453	0	1	1
1902-0465	0	1	1
1904-0356	0	1	1
1902-0470	0	1	1
1903-0399	1	0	1
1903-0059	1	0	1
1903-0060	0	1	1
1903-0061	1	0	1
1903-0426	0	1	1
1903-0424	0	1	1
1892-0087	1	0	1
1903-0068	1	0	1
1903-0429	1	0	1
1891-0064	0	1	1
1904-0371	0	1	1
1903-0139	0	1	1
1904-0364	0	1	1
1903-0083	0	1	1
1903-0430	1	0	1
1903-0384	1	0	1
1892-0069	1	0	1
1903-0077	1	0	1
1903-0078	1	0	1
1904-0084	1	0	1
1903-0089	1	0	1
1891-0068	0	1	1
1891-0069	1	0	1
1904-0085	0	1	1
1904-0078	1	0	1
1902-0396	1	0	1
1904-0082	0	1	1
1891-0074	1	0	1
1891-0075	1	0	1
1903-0350	0	1	1
1902-0411	1	0	1
1902-0415	0	1	1
1891-0076	1	0	1
1903-0092	1	0	1
1892-0074	1	0	1
1893-0079	1	0	1
1893-0076	1	0	1
1903-0086	1	0	1
1903-0072	1	0	1
1892-0066	1	0	1
1903-0073	0	1	1
1903-0075	1	0	1
1903-0085	0	1	1
1892-0086	1	0	1
1903-0071	1	0	1
1892-0068	0	1	1
1892-0331	0	1	1
1904-0087	1	0	1
1904-0125	1	0	1
1904-0095	0	1	1
1904-0124	0	1	1
1902-0345	0	1	1
1893-0357	0	1	1
1902-0350	0	1	1
1904-0097	1	0	1
1903-0333	0	1	1
1903-0097	1	0	1
1902-0362	0	1	1
1903-0338	0	1	1
1904-0104	1	0	1
1903-0098	0	1	1
1904-0115	1	0	1
1893-0340	1	0	1
1903-0084	0	1	1
1891-0066	1	0	1
1899-0070	1	0	1
1893-0378	0	1	1
1904-0120	0	1	1
1904-0106	0	1	1
1903-0143	0	1	1
1903-0320	0	1	1
1904-0110	1	0	1
1904-0119	0	1	1
1902-0333	0	1	1
1904-0117	1	0	1
1904-0102	0	1	1
1902-0330	0	1	1
1897-0098	0	1	1
1903-0101	1	0	1
1902-0113	1	0	1
1902-0115	0	1	1
1904-0426	1	0	1
1893-0409	1	0	1
1893-0408	0	1	1
1904-0088	1	0	1
1903-0105	0	1	1
1903-0103	1	0	1
1904-0380	0	1	1
1902-0120	1	0	1
1904-0385	0	1	1
1902-0108	0	1	1
1902-0093	0	1	1
1902-0094	0	1	1
1902-0095	0	1	1
1904-0431	1	0	1
1904-0409	0	1	1
1893-0411	0	1	1
1904-0408	1	0	1
1904-0397	0	1	1
1902-0098	0	1	1
1902-0099	1	0	1
1904-0389	0	1	1
1902-0102	1	0	1
1902-0107	1	0	1
1893-0418	1	0	1
1902-0111	1	0	1
1904-0121	0	1	1
1893-0336	1	0	1
1902-0096	1	0	1
1904-0420	0	1	1
1903-0342	0	1	1
1902-0354	0	1	1
1892-0076	1	0	1
1896-0333	1	0	1
1898-0090	1	0	1
1898-0088	1	0	1
1898-0086	0	1	1
1898-0085	0	1	1
1898-0083	0	1	1
1898-0081	1	0	1
1898-0077	1	0	1
1898-0076	1	0	1
1898-0075	0	1	1
1898-0074	1	0	1
1898-0100	0	1	1
1902-0088	1	0	1
1897-0336	0	1	1
1900-0061	1	0	1
1898-0095	0	1	1
1896-0395	0	1	1
1896-0388	1	0	1
1896-0384	0	1	1
1899-0388	0	1	1
1899-0393	1	0	1
1899-0399	0	1	1
1896-0370	0	1	1
1896-0363	0	1	1
1899-0415	0	1	1
1896-0359	1	0	1
1896-0348	0	1	1
1900-0057	1	0	1
1900-0060	0	1	1
1899-0096	0	1	1
1896-0412	0	1	1
1898-0099	1	0	1
1898-0105	0	1	1
1898-0104	1	0	1
1898-0102	0	1	1
1898-0066	1	0	1
1891-0086	1	0	1
1897-0365	0	1	1
1892-0096	1	0	1
1897-0361	1	0	1
1904-0081	0	1	1
1899-0074	1	0	1
1899-0079	0	1	1
1899-0080	0	1	1
1899-0082	1	0	1
1899-0083	0	1	1
1897-0350	0	1	1
1899-0089	1	0	1
1899-0093	1	0	1
1898-0068	1	0	1
1899-0094	1	0	1
1898-0072	1	0	1
1898-0345	1	0	1
1898-0347	0	1	1
1898-0353	1	0	1
1898-0358	1	0	1
1898-0307	0	1	1
1898-0306	0	1	1
1898-0303	0	1	1
1898-0372	1	0	1
1898-0294	0	1	1
1898-0376	0	1	1
1900-0063	0	1	1
1897-0347	1	0	1
1900-0069	1	0	1
1893-0080	0	1	1
1897-0079	1	0	1
1904-0072	1	0	1
1897-0078	1	0	1
1897-0076	1	0	1
1897-0073	1	0	1
1897-0071	1	0	1
1897-0068	1	0	1
1897-0102	1	0	1
1894-0071	1	0	1
1901-0110	0	1	1
1904-0074	1	0	1
1904-0075	1	0	1
1903-0088	0	1	1
1893-0098	1	0	1
1902-0441	1	0	1
1902-0442	1	0	1
1897-0086	1	0	1
1892-0352	0	1	1
1893-0100	0	1	1
1893-0092	1	0	1
1892-0093	0	1	1
1893-0083	0	1	1
1891-0093	0	1	1
1891-0096	1	0	1
1904-0076	1	0	1
1897-0334	1	0	1
1902-0436	0	1	1
1899-0298	0	1	1
1900-0071	1	0	1
1902-0438	0	1	1
1899-0090	0	1	1
1897-0108	1	0	1
1900-0083	0	1	1
1900-0086	1	0	1
1900-0084	0	1	1
1896-0419	0	1	1
1899-0349	1	0	1
1899-0100	1	0	1
1899-0101	0	1	1
1899-0287	0	1	1
1897-0090	1	0	1
1899-0294	0	1	1
1898-0065	0	1	1
1897-0296	0	1	1
1897-0096	1	0	1
1899-0097	0	1	1
1897-0095	1	0	1
1899-0336	1	0	1
1899-0367	0	1	1
1897-0295	0	1	1
1899-0068	0	1	1
1897-0099	0	1	1
1900-0075	0	1	1
1900-0072	0	1	1
1899-0326	0	1	1
1900-0078	1	0	1
1897-0285	0	1	1
1903-0329	0	1	1
1899-0363	1	0	1
1889-0297	0	0	0
1889-0309	0	0	0
1889-0315	0	0	0
1889-0310	0	0	0
1889-0317	0	0	0
1889-0311	0	0	0
1889-0319	0	0	0
1889-0312	0	0	0
1889-0313	0	0	0
1889-0314	0	0	0
1889-0321	0	0	0
1889-0316	0	0	0
1889-0323	0	0	0
1889-0318	0	0	0
1889-0325	0	0	0
1889-0320	0	0	0
1889-0322	0	0	0
1889-0324	0	0	0
1889-0326	0	0	0
1889-0327	0	0	0
1889-0085	0	0	0
1889-0328	0	0	0
1889-0086	0	0	0
1889-0294	0	0	0
1889-0084	0	0	0
1889-0305	0	0	0
1889-0304	0	0	0
1889-0073	0	0	0
1889-0088	0	0	0
1889-0308	0	0	0
1889-0299	0	0	0
1889-0272	0	0	0
1889-0074	0	0	0
1889-0075	0	0	0
